v8-version,8,4,371,23,-node.85,0
code-creation,Builtin,3,3203,0x1332c60,92,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,3207,0x1332cc0,96,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,3210,0x1332d40,400,CallApiCallback
code-creation,Builtin,3,3213,0x1332ee0,372,CallApiGetter
code-creation,Builtin,3,3215,0x1333060,8,HandleApiCall
code-creation,Builtin,3,3218,0x1333080,8,HandleApiCallAsFunction
code-creation,Builtin,3,3221,0x13330a0,8,HandleApiCallAsConstructor
code-creation,Builtin,3,3225,0x13330c0,64,AllocateInYoungGeneration
code-creation,Builtin,3,3228,0x1333120,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,3231,0x1333160,64,AllocateInOldGeneration
code-creation,Builtin,3,3234,0x13331c0,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,3237,0x1333200,480,CopyFastSmiOrObjectElements
code-creation,Builtin,3,3241,0x1333400,603,GrowFastDoubleElements
code-creation,Builtin,3,3244,0x1333660,474,GrowFastSmiOrObjectElements
code-creation,Builtin,3,3247,0x1333840,433,NewArgumentsElements
code-creation,Builtin,3,3249,0x1333a00,556,DebugBreakTrampoline
code-creation,Builtin,3,3252,0x1333c40,192,FrameDropperTrampoline
code-creation,Builtin,3,3255,0x1333d20,60,HandleDebuggerStatement
code-creation,Builtin,3,3258,0x1333d60,286,ToObject
code-creation,Builtin,3,3261,0x1333e80,136,ToBoolean
code-creation,Builtin,3,3263,0x1333f20,337,OrdinaryToPrimitive_Number
code-creation,Builtin,3,3266,0x1334080,337,OrdinaryToPrimitive_String
code-creation,Builtin,3,3269,0x13341e0,255,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,3273,0x13342e0,255,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,3276,0x13343e0,255,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,3279,0x13344e0,113,StringToNumber
code-creation,Builtin,3,3282,0x1334560,157,ToName
code-creation,Builtin,3,3284,0x1334600,303,NonNumberToNumber
code-creation,Builtin,3,3287,0x1334740,315,NonNumberToNumeric
code-creation,Builtin,3,3290,0x1334880,291,ToNumber
code-creation,Builtin,3,3292,0x13349c0,332,ToNumberConvertBigInt
code-creation,Builtin,3,3295,0x1334b20,343,ToNumeric
code-creation,Builtin,3,3297,0x1334c80,357,NumberToString
code-creation,Builtin,3,3300,0x1334e00,322,ToLength
code-creation,Builtin,3,3302,0x1334f60,156,Typeof
code-creation,Builtin,3,3305,0x1335000,89,GetSuperConstructor
code-creation,Builtin,3,3308,0x1335060,161,BigIntToI64
code-creation,Builtin,3,3310,0x1335120,16,BigIntToI32Pair
code-creation,Builtin,3,3313,0x1335140,341,I64ToBigInt
code-creation,Builtin,3,3316,0x13352a0,16,I32PairToBigInt
code-creation,Builtin,3,3321,0x13352c0,144,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,3325,0x1335360,3025,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,3328,0x1335f40,14768,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,3331,0x1339900,301,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,3334,0x1339a40,92,LoadIC_FunctionPrototype
code-creation,Builtin,3,3337,0x1339aa0,24,LoadIC_StringLength
code-creation,Builtin,3,3340,0x1339ac0,28,LoadIC_StringWrapperLength
code-creation,Builtin,3,3343,0x1339ae0,3148,LoadIC_NoFeedback
code-creation,Builtin,3,3346,0x133a740,52,StoreGlobalIC_Slow
code-creation,Builtin,3,3349,0x133a780,6104,StoreIC_NoFeedback
code-creation,Builtin,3,3352,0x133bf60,232,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,3355,0x133c060,76,LoadIndexedInterceptorIC
code-creation,Builtin,3,3358,0x133c0c0,392,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,3361,0x133c260,392,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,3366,0x133c400,392,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,3370,0x133c5a0,392,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,3373,0x133c740,6044,StoreFastElementIC_Standard
code-creation,Builtin,3,3377,0x133dee0,11572,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,3380,0x1340c20,6044,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,3384,0x13423c0,6020,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,3388,0x1343b60,9544,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,3391,0x13460c0,24104,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,3395,0x134bf00,9544,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,3399,0x134e460,12948,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,3403,0x1351700,744,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,3406,0x1351a00,220,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,3409,0x1351ae0,76,HasIndexedInterceptorIC
code-creation,Builtin,3,3412,0x1351b40,172,EnqueueMicrotask
code-creation,Builtin,3,3415,0x1351c00,8,RunMicrotasksTrampoline
code-creation,Builtin,3,3418,0x1351c20,3988,RunMicrotasks
code-creation,Builtin,3,3420,0x1352bc0,2402,HasProperty
code-creation,Builtin,3,3423,0x1353540,1064,DeleteProperty
code-creation,Builtin,3,3426,0x1353980,1963,CopyDataProperties
code-creation,Builtin,3,3429,0x1354140,8302,SetDataProperties
code-creation,Builtin,3,3432,0x13561c0,40,Abort
code-creation,Builtin,3,3434,0x1356200,40,AbortCSAAssert
code-creation,Builtin,3,3437,0x1356240,8,EmptyFunction
code-creation,Builtin,3,3439,0x1356260,8,Illegal
code-creation,Builtin,3,3442,0x1356280,8,StrictPoisonPillThrower
code-creation,Builtin,3,3445,0x13562a0,8,UnsupportedThrower
code-creation,Builtin,3,3447,0x13562c0,93,ReturnReceiver
code-creation,Builtin,3,3450,0x1356320,44,ArrayConstructor
code-creation,Builtin,3,3453,0x1356360,485,ArrayConstructorImpl
code-creation,Builtin,3,3456,0x1356560,237,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,3460,0x1356660,237,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,3464,0x1356760,197,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,3468,0x1356840,197,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,3473,0x1356920,197,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,3477,0x1356a00,197,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,3481,0x1356ae0,201,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,3486,0x1356bc0,201,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,3490,0x1356ca0,501,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,3495,0x1356ea0,481,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,3499,0x13570a0,421,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,3505,0x1357260,405,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,3509,0x1357400,421,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,3514,0x13575c0,405,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,3518,0x1357760,425,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,3523,0x1357920,409,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,3527,0x1357ac0,80,ArrayNArgumentsConstructor
code-creation,Builtin,3,3530,0x1357b20,8,ArrayConcat
code-creation,Builtin,3,3533,0x1357b40,8,ArrayPrototypeFill
code-creation,Builtin,3,3536,0x1357b60,1050,ArrayIncludesSmiOrObject
code-creation,Builtin,3,3539,0x1357f80,180,ArrayIncludesPackedDoubles
code-creation,Builtin,3,3542,0x1358040,260,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,3545,0x1358160,637,ArrayIncludes
code-creation,Builtin,3,3548,0x13583e0,950,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,3551,0x13587a0,136,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,3554,0x1358840,136,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,3557,0x13588e0,637,ArrayIndexOf
code-creation,Builtin,3,3560,0x1358b60,8,ArrayPop
code-creation,Builtin,3,3562,0x1358b80,722,ArrayPrototypePop
code-creation,Builtin,3,3565,0x1358e60,8,ArrayPush
code-creation,Builtin,3,3567,0x1358e80,2750,ArrayPrototypePush
code-creation,Builtin,3,3570,0x1359940,8,ArrayShift
code-creation,Builtin,3,3573,0x1359960,8,ArrayUnshift
code-creation,Builtin,3,3575,0x1359980,1022,CloneFastJSArray
code-creation,Builtin,3,3578,0x1359d80,2330,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,3581,0x135a6a0,1042,ExtractFastJSArray
code-creation,Builtin,3,3584,0x135aac0,299,ArrayPrototypeEntries
code-creation,Builtin,3,3587,0x135ac00,295,ArrayPrototypeKeys
code-creation,Builtin,3,3590,0x135ad40,299,ArrayPrototypeValues
code-creation,Builtin,3,3593,0x135ae80,4068,ArrayIteratorPrototypeNext
code-creation,Builtin,3,3596,0x135be80,3828,FlattenIntoArray
code-creation,Builtin,3,3599,0x135cd80,3820,FlatMapIntoArray
code-creation,Builtin,3,3602,0x135dc80,568,ArrayPrototypeFlat
code-creation,Builtin,3,3605,0x135dec0,624,ArrayPrototypeFlatMap
code-creation,Builtin,3,3607,0x135e140,8,ArrayBufferConstructor
code-creation,Builtin,3,3611,0x135e160,8,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,3614,0x135e180,8,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,3618,0x135e1a0,8,ArrayBufferIsView
code-creation,Builtin,3,3620,0x135e1c0,8,ArrayBufferPrototypeSlice
code-creation,Builtin,3,3624,0x135e1e0,764,AsyncFunctionEnter
code-creation,Builtin,3,3626,0x135e4e0,161,AsyncFunctionReject
code-creation,Builtin,3,3629,0x135e5a0,153,AsyncFunctionResolve
code-creation,Builtin,3,3632,0x135e640,24,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,3636,0x135e660,2332,AsyncFunctionAwaitCaught
code-creation,Builtin,3,3639,0x135ef80,2332,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,3642,0x135f8a0,219,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,3645,0x135f980,219,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,3649,0x135fa60,8,BigIntConstructor
code-creation,Builtin,3,3651,0x135fa80,8,BigIntAsUintN
code-creation,Builtin,3,3654,0x135faa0,8,BigIntAsIntN
code-creation,Builtin,3,3657,0x135fac0,8,BigIntPrototypeToLocaleString
code-creation,Builtin,3,3660,0x135fae0,8,BigIntPrototypeToString
code-creation,Builtin,3,3663,0x135fb00,8,BigIntPrototypeValueOf
code-creation,Builtin,3,3666,0x135fb20,8,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,3669,0x135fb40,8,CallSitePrototypeGetEnclosingColumnNumber
code-creation,Builtin,3,3673,0x135fb60,8,CallSitePrototypeGetEnclosingLineNumber
code-creation,Builtin,3,3676,0x135fb80,8,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,3680,0x135fba0,8,CallSitePrototypeGetFileName
code-creation,Builtin,3,3683,0x135fbc0,8,CallSitePrototypeGetFunction
code-creation,Builtin,3,3686,0x135fbe0,8,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,3691,0x135fc00,8,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,3694,0x135fc20,8,CallSitePrototypeGetMethodName
code-creation,Builtin,3,3697,0x135fc40,8,CallSitePrototypeGetPosition
code-creation,Builtin,3,3701,0x135fc60,8,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,3704,0x135fc80,8,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,3708,0x135fca0,8,CallSitePrototypeGetThis
