v8-version,8,4,371,23,-node.85,0
code-creation,Builtin,3,3037,0x1332c60,92,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,3040,0x1332cc0,96,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,3043,0x1332d40,400,CallApiCallback
code-creation,Builtin,3,3046,0x1332ee0,372,CallApiGetter
code-creation,Builtin,3,3048,0x1333060,8,HandleApiCall
code-creation,Builtin,3,3051,0x1333080,8,HandleApiCallAsFunction
code-creation,Builtin,3,3054,0x13330a0,8,HandleApiCallAsConstructor
code-creation,Builtin,3,3056,0x13330c0,64,AllocateInYoungGeneration
code-creation,Builtin,3,3059,0x1333120,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,3062,0x1333160,64,AllocateInOldGeneration
code-creation,Builtin,3,3065,0x13331c0,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,3068,0x1333200,480,CopyFastSmiOrObjectElements
code-creation,Builtin,3,3071,0x1333400,603,GrowFastDoubleElements
code-creation,Builtin,3,3074,0x1333660,474,GrowFastSmiOrObjectElements
code-creation,Builtin,3,3076,0x1333840,433,NewArgumentsElements
code-creation,Builtin,3,3079,0x1333a00,556,DebugBreakTrampoline
code-creation,Builtin,3,3082,0x1333c40,192,FrameDropperTrampoline
code-creation,Builtin,3,3084,0x1333d20,60,HandleDebuggerStatement
code-creation,Builtin,3,3087,0x1333d60,286,ToObject
code-creation,Builtin,3,3089,0x1333e80,136,ToBoolean
code-creation,Builtin,3,3092,0x1333f20,337,OrdinaryToPrimitive_Number
code-creation,Builtin,3,3094,0x1334080,337,OrdinaryToPrimitive_String
code-creation,Builtin,3,3097,0x13341e0,255,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,3100,0x13342e0,255,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,3103,0x13343e0,255,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,3106,0x13344e0,113,StringToNumber
code-creation,Builtin,3,3109,0x1334560,157,ToName
code-creation,Builtin,3,3111,0x1334600,303,NonNumberToNumber
code-creation,Builtin,3,3113,0x1334740,315,NonNumberToNumeric
code-creation,Builtin,3,3116,0x1334880,291,ToNumber
code-creation,Builtin,3,3118,0x13349c0,332,ToNumberConvertBigInt
code-creation,Builtin,3,3121,0x1334b20,343,ToNumeric
code-creation,Builtin,3,3123,0x1334c80,357,NumberToString
code-creation,Builtin,3,3125,0x1334e00,322,ToLength
code-creation,Builtin,3,3128,0x1334f60,156,Typeof
code-creation,Builtin,3,3130,0x1335000,89,GetSuperConstructor
code-creation,Builtin,3,3133,0x1335060,161,BigIntToI64
code-creation,Builtin,3,3135,0x1335120,16,BigIntToI32Pair
code-creation,Builtin,3,3137,0x1335140,341,I64ToBigInt
code-creation,Builtin,3,3140,0x13352a0,16,I32PairToBigInt
code-creation,Builtin,3,3142,0x13352c0,144,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,3146,0x1335360,3025,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,3149,0x1335f40,14768,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,3152,0x1339900,301,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,3155,0x1339a40,92,LoadIC_FunctionPrototype
code-creation,Builtin,3,3158,0x1339aa0,24,LoadIC_StringLength
code-creation,Builtin,3,3174,0x1339ac0,28,LoadIC_StringWrapperLength
code-creation,Builtin,3,3177,0x1339ae0,3148,LoadIC_NoFeedback
code-creation,Builtin,3,3180,0x133a740,52,StoreGlobalIC_Slow
code-creation,Builtin,3,3182,0x133a780,6104,StoreIC_NoFeedback
code-creation,Builtin,3,3185,0x133bf60,232,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,3188,0x133c060,76,LoadIndexedInterceptorIC
code-creation,Builtin,3,3191,0x133c0c0,392,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,3194,0x133c260,392,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,3198,0x133c400,392,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,3202,0x133c5a0,392,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,3206,0x133c740,6044,StoreFastElementIC_Standard
code-creation,Builtin,3,3209,0x133dee0,11572,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,3212,0x1340c20,6044,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,3216,0x13423c0,6020,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,3219,0x1343b60,9544,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,3223,0x13460c0,24104,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,3227,0x134bf00,9544,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,3230,0x134e460,12948,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,3234,0x1351700,744,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,3237,0x1351a00,220,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,3240,0x1351ae0,76,HasIndexedInterceptorIC
code-creation,Builtin,3,3243,0x1351b40,172,EnqueueMicrotask
code-creation,Builtin,3,3245,0x1351c00,8,RunMicrotasksTrampoline
code-creation,Builtin,3,3248,0x1351c20,3988,RunMicrotasks
code-creation,Builtin,3,3251,0x1352bc0,2402,HasProperty
code-creation,Builtin,3,3253,0x1353540,1064,DeleteProperty
code-creation,Builtin,3,3256,0x1353980,1963,CopyDataProperties
code-creation,Builtin,3,3259,0x1354140,8302,SetDataProperties
code-creation,Builtin,3,3261,0x13561c0,40,Abort
code-creation,Builtin,3,3263,0x1356200,40,AbortCSAAssert
code-creation,Builtin,3,3266,0x1356240,8,EmptyFunction
code-creation,Builtin,3,3268,0x1356260,8,Illegal
code-creation,Builtin,3,3270,0x1356280,8,StrictPoisonPillThrower
code-creation,Builtin,3,3273,0x13562a0,8,UnsupportedThrower
code-creation,Builtin,3,3276,0x13562c0,93,ReturnReceiver
code-creation,Builtin,3,3278,0x1356320,44,ArrayConstructor
code-creation,Builtin,3,3281,0x1356360,485,ArrayConstructorImpl
code-creation,Builtin,3,3284,0x1356560,237,ArrayNoArgumentConstructor_PackedSmi_DontOverride
