v8-version,8,4,371,23,-node.85,0
code-creation,Builtin,3,1721,0x1332c60,92,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,1724,0x1332cc0,96,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,1727,0x1332d40,400,CallApiCallback
code-creation,Builtin,3,1730,0x1332ee0,372,CallApiGetter
code-creation,Builtin,3,1732,0x1333060,8,HandleApiCall
code-creation,Builtin,3,1740,0x1333080,8,HandleApiCallAsFunction
code-creation,Builtin,3,1742,0x13330a0,8,HandleApiCallAsConstructor
code-creation,Builtin,3,1745,0x13330c0,64,AllocateInYoungGeneration
code-creation,Builtin,3,1748,0x1333120,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,1751,0x1333160,64,AllocateInOldGeneration
code-creation,Builtin,3,1754,0x13331c0,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,1757,0x1333200,480,CopyFastSmiOrObjectElements
code-creation,Builtin,3,1760,0x1333400,603,GrowFastDoubleElements
code-creation,Builtin,3,1763,0x1333660,474,GrowFastSmiOrObjectElements
code-creation,Builtin,3,1780,0x1333840,433,NewArgumentsElements
code-creation,Builtin,3,1783,0x1333a00,556,DebugBreakTrampoline
code-creation,Builtin,3,1786,0x1333c40,192,FrameDropperTrampoline
code-creation,Builtin,3,1788,0x1333d20,60,HandleDebuggerStatement
code-creation,Builtin,3,1791,0x1333d60,286,ToObject
code-creation,Builtin,3,1793,0x1333e80,136,ToBoolean
code-creation,Builtin,3,1796,0x1333f20,337,OrdinaryToPrimitive_Number
code-creation,Builtin,3,1799,0x1334080,337,OrdinaryToPrimitive_String
code-creation,Builtin,3,1802,0x13341e0,255,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,1807,0x13342e0,255,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,1810,0x13343e0,255,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,1816,0x13344e0,113,StringToNumber
code-creation,Builtin,3,1818,0x1334560,157,ToName
tick,0xffffb750907c,1821,0,0x0,6
code-creation,Builtin,3,1842,0x1334600,303,NonNumberToNumber
code-creation,Builtin,3,1848,0x1334740,315,NonNumberToNumeric
code-creation,Builtin,3,1851,0x1334880,291,ToNumber
code-creation,Builtin,3,1853,0x13349c0,332,ToNumberConvertBigInt
code-creation,Builtin,3,1856,0x1334b20,343,ToNumeric
code-creation,Builtin,3,1858,0x1334c80,357,NumberToString
code-creation,Builtin,3,1860,0x1334e00,322,ToLength
code-creation,Builtin,3,1863,0x1334f60,156,Typeof
code-creation,Builtin,3,1865,0x1335000,89,GetSuperConstructor
code-creation,Builtin,3,1867,0x1335060,161,BigIntToI64
code-creation,Builtin,3,1883,0x1335120,16,BigIntToI32Pair
code-creation,Builtin,3,1886,0x1335140,341,I64ToBigInt
code-creation,Builtin,3,1889,0x13352a0,16,I32PairToBigInt
code-creation,Builtin,3,1894,0x13352c0,144,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,1897,0x1335360,3025,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,1900,0x1335f40,14768,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,1903,0x1339900,301,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,1906,0x1339a40,92,LoadIC_FunctionPrototype
code-creation,Builtin,3,1909,0x1339aa0,24,LoadIC_StringLength
code-creation,Builtin,3,1911,0x1339ac0,28,LoadIC_StringWrapperLength
code-creation,Builtin,3,1914,0x1339ae0,3148,LoadIC_NoFeedback
code-creation,Builtin,3,1917,0x133a740,52,StoreGlobalIC_Slow
code-creation,Builtin,3,1920,0x133a780,6104,StoreIC_NoFeedback
code-creation,Builtin,3,1923,0x133bf60,232,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,1926,0x133c060,76,LoadIndexedInterceptorIC
code-creation,Builtin,3,1929,0x133c0c0,392,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,1932,0x133c260,392,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
